IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,26726531,7999.995,799.9995,5015.9263,0.007127166,-0.5869714,-1.628781,6.67572E-05,-0.188827,57.402466,0.021206746,7.609858E-05,0.027350867,1.9351802,-0.04253234,-0.013128062,0.23097746,0.24443984,0.2650376,0.26600695,0.0010827157,0.0010294152,-0.0075407294,-0.007476686,170.05026,170.04843,168.89679,168.89772,0,0,0,0,0,0,0,0,0,0,0,0,0.010992903,-0.015815396,-0.021396572,0.016157297,0.011046094,0.015848864,0.022686468,0.017803345,-0.0035055876,-0.002122879,0.00053696334,0.0006224066,61,5,205,1,6,665.83215,12.036679,-206.90988,57.402775,-29011.691,-55.227707,197.80322,197.9451,198.46094,198.46094,-11.024998,1,16019.933,129.31252,130.08295,4.5941267,421.75278,3,1,0,0,0,0,6,0,242,0
True,26728921,7999.995,799.9995,5004.494,0.020626664,-1.7183746,-1.6164304,-0.001739502,-0.22034577,57.29346,0.034860156,0.0005642227,0.034815032,1.9351705,-0.0404194,-0.011030448,0.19972624,0.21524021,0.2341877,0.23418331,0.001048525,0.0009971183,-0.0089341635,-0.008657249,169.70839,169.70407,168.52744,168.52795,0,0,0,0,0,0,0,0,0,0,0,0,0.012774033,-0.014260102,-0.020747056,0.015067677,0.0128169935,0.0142949205,0.022588927,0.017377654,-0.006715372,-0.0051219463,-0.00218229,-0.0021826774,61,5,205,1,6,669.5505,12.187749,-208.32782,57.293877,-28884.775,-55.11218,197.72665,197.87134,198.38687,198.38687,-11.024998,1,16023.92,129.31252,130.08295,4.6635714,421.82224,3,1,0,0,0,0,6,0,244,0
True,26729000,7999.995,799.9995,4994.495,-0.017325789,-2.4460778,-1.521394,-0.0077495575,-0.23771852,57.18658,0.049879353,0.0015140359,0.0412649,1.9352195,-0.03742181,-0.008577803,0.17744726,0.1980356,0.2172582,0.21414,0.0011170628,0.000955893,-0.009166636,-0.009029052,169.37292,169.36197,168.1897,168.1818,0,0,0,0,0,0,0,0,0,0,0,0,0.013029798,-0.014210939,-0.01963739,0.015294761,0.013077594,0.014243051,0.021671508,0.01776101,-0.009003624,-0.0068890154,-0.003674537,-0.003949389,61,5,205,1,6,673.2623,12.326444,-209.7431,57.187073,-28774.947,-55.012,197.6484,197.79565,198.31117,198.31117,-11.024998,1,16027.9,129.31252,130.08295,4.7330155,421.89166,3,1,0,0,0,0,6,0,247,0
True,26729046,7999.995,799.9995,4986.7046,-0.039043337,-2.5226345,-1.5224363,-0.01540184,-0.2303981,57.10244,0.038978424,0.0016940802,0.05028184,1.9352925,-0.034785356,-0.0060759555,0.18666993,0.21238936,0.20474215,0.19887516,0.00090552465,0.0007464708,-0.009265291,-0.010287558,169.13373,169.12065,167.94237,167.90302,0,0,0,0,0,0,0,0,0,0,0,0,0.014381986,-0.014650697,-0.018611347,0.015154816,0.014410465,0.014669701,0.02079009,0.018316722,-0.008056372,-0.005414754,-0.0047777593,-0.005294904,61,5,205,1,6,676.2272,12.427689,-210.8734,57.102905,-28687.043,-54.931683,197.58734,197.737,198.24957,198.24957,-11.024998,1,16031.079,129.31252,130.08295,4.7885714,421.94724,3,1,0,0,0,0,6,0,249,0
True,26729125,7999.995,799.9995,4980.193,-0.038100153,-1.7626426,-1.5384165,-0.02620697,-0.21477163,56.996933,0.027512308,0.0022074545,0.05187559,1.9354151,-0.03277295,-0.002344801,0.21218102,0.23313394,0.22893962,0.22056015,0.00097592897,0.0009034339,-0.007367764,-0.007964691,168.84059,168.82642,167.69725,167.66165,0,0,0,0,0,0,0,0,0,0,0,0,0.0155538125,-0.012731472,-0.01735988,0.017487982,0.0155844,0.012763485,0.01885867,0.01921629,-0.005436152,-0.0032840967,-0.0026448816,-0.0033834875,61,5,205,1,6,679.92737,12.545623,-212.2838,56.99734,-28617.17,-54.867744,197.5155,197.66742,198.1752,198.1752,-11.024998,1,16035.046,129.31252,130.08295,4.8580155,422.01666,3,1,0,0,0,0,6,0,251,0
True,26729171,7999.995,799.9995,4972.428,0.03634134,-1.4836699,-1.4863272,-0.026828766,-0.19820777,56.9143,0.027990654,0.004722767,0.05614712,1.9355732,-0.031239247,0.0005592303,0.21949588,0.23430997,0.23868403,0.23097621,0.00079482305,0.00091812067,-0.008112455,-0.007963111,168.59885,168.57968,167.45367,167.43092,0,0,0,0,0,0,0,0,0,0,0,0,0.03705307,0.008889545,-0.017196797,0.018704629,0.037061594,0.008936832,0.01901425,0.020329148,-0.0046848506,-0.003163308,-0.0017859638,-0.0024653673,61,5,205,1,6,682.8828,12.6353855,-213.41035,56.91465,-28531.645,-54.789387,197.45958,197.61096,198.11725,198.11725,-11.024998,1,16038.214,129.31252,130.08295,4.9135714,422.07224,3,1,0,0,0,0,6,0,253,0
True,26729234,7999.995,799.9995,4973.5513,0.2756843,-1.5594996,-1.4828433,-0.037490845,-0.19359928,56.8335,0.030093946,0.015269738,0.046887144,1.93614,-0.02955687,0.0034658771,0.2188697,0.22725265,0.23914504,0.2207287,0.0007122548,0.0008779065,-0.0063150446,-0.007255101,168.37701,168.3073,167.27075,167.17628,0,0,0,0,0,0,0,0,0,0,0,0,0.037208386,0.008581007,-0.011755366,0.023038805,0.037215203,0.008625799,0.013344227,0.02415415,-0.004749164,-0.00388816,-0.0017453283,-0.003368631,61,5,205,1,6,685.83374,12.720477,-214.53629,56.833843,-17252.355,-33.126305,197.40694,197.55164,198.0592,198.0592,-11.024998,1,16041.378,129.31252,130.08295,4.9691267,422.12778,3,1,16,0,0,0,6,0,254,0
True,26729296,7999.995,799.9995,4978.474,0.47092736,-1.6387389,-1.2324514,-0.079948425,-0.20317319,56.75111,0.023559872,0.025556488,0.036466032,1.9376119,-0.027688101,0.0063558756,0.2227792,0.22221048,0.23834829,0.21398498,0.00045966206,0.0005993028,0.009035505,0.011850554,168.16212,168.04239,167.3855,167.3361,0,0,0,0,0,0,0,0,0,0,0,0,0.043249425,0.014361532,-0.00013159351,0.034120765,0.04325187,0.014374032,0.009036464,0.03612011,-0.0043476224,-0.004406035,-0.0018155575,-0.003963053,61,5,205,1,6,689.51636,12.8193245,-215.94371,56.75153,25067.555,48.073166,197.34258,197.4779,197.98407,197.98407,-11.024998,1,16045.328,129.31252,130.08295,5.0385714,422.19724,3,1,77,0,0,0,6,0,0,0
True,26729359,7999.995,799.9995,4980.867,0.7651673,-1.5732199,-1.0539521,-0.11963272,-0.21852857,56.70719,0.02285155,0.030261137,0.031429693,1.9391983,-0.02650617,0.008231681,0.22533162,0.21340811,0.24580118,0.22121657,0.00040862133,0.00051171135,0.01769019,0.020657128,168.04391,167.90155,167.43114,167.3612,0,0,0,0,0,0,0,0,0,0,0,0,0.04959052,0.020542268,0.008932126,0.044223934,0.049592204,0.02054864,0.019817308,0.048810586,-0.0040854663,-0.005310118,-0.0011586249,-0.0033256263,61,5,205,1,6,692.4584,12.892837,-217.07092,56.707737,59918.645,114.872505,197.29309,197.41963,197.92561,197.92561,-10.867133,1,16048.486,129.31252,130.08295,5.0941267,422.25278,3,1,126,0,0,0,6,0,1,0
True,26729421,7999.995,799.9995,4985.198,1.1018591,-1.3823366,-0.6465632,-0.1583519,-0.23002014,56.674717,0.013822375,0.03412438,0.021306954,1.9414381,-0.02514107,0.0099110035,0.23721987,0.21593109,0.2533325,0.21949139,9.825796E-05,0.00018077328,0.027611263,0.033738658,167.9631,167.80232,167.55432,167.53793,0,0,0,0,0,0,0,0,0,0,0,0,0.06023987,0.029970696,0.018150572,0.053277615,0.06023995,0.029971242,0.033042777,0.063061886,-0.0028644353,-0.005050987,-0.00049477816,-0.0034776926,61,5,205,1,6,696.132,12.978488,-218.48352,56.675404,98121.305,187.9568,197.23503,197.34831,197.85767,197.85767,-8.723948,1,16052.43,129.31252,130.08295,5.1635714,422.32224,3,1,171,0,0,0,6,0,2,0
